command_path	arity	synopsis
acp	2	v0.7.0 1.A.10: ACP server + client surface. `acp serve` binds the HTTP/SSE transport; `acp request` drives a one-shot session/message round-trip
acp request	5	One-shot ACP request against a running server. Mostly a smoke-test handle for `serve`
acp request create-session	0	`session/create`. Prints the new session_id
acp request delete-session	0	`session/delete :id`
acp request get-session	0	`session/get :id`. Prints session metadata
acp request list-sessions	0	`session/list`. Prints one session_id per line
acp request send	0	`message/send :id <text>`. Streams events to stdout, one per line, JSON-encoded. Exits when the stream ends
acp serve	0	Bind the HTTP/SSE transport to a TCP port and serve sessions
agent	5	v0.7.0 3.B.2: manage user-defined agents (create, list, show, edit, delete). Built-ins from the bundled pack are read-only
agent create	0	Create a new user agent (persists to ~/.wayland/agents/<name>.toml)
agent delete	0	Delete a user agent. Built-ins cannot be deleted
agent edit	0	Open the user agent's TOML file in $EDITOR for hand-editing
agent list	0	List user agents (and optionally the built-ins)
agent show	0	Print the resolved manifest for an agent (user or built-in)
auth	6	CLI surface: manage provider API keys (list / add / remove) directly in the global `config.toml` — the lightweight alternative to the full onboarding flow
auth add	0	Add (or replace) a provider API key. The key is validated against the provider's endpoint before it is written
auth list	0	List every configured provider with a masked API key
auth login	0	Sign in to a subscription provider via OAuth in the browser
auth logout	0	Sign out (delete stored OAuth tokens) for a subscription provider
auth remove	0	Remove a provider's API key from the config
auth status	0	Show OAuth login status (provider, plan, token expiry)
backend	8	F25-01: execution backends — list / probe / run / cancel / orphans / receipt verify / diff across local, container, ssh and cloud
backend cancel	0	Cancel a live task by id, from any process, and report what cleanup was observed
backend diff	0	Diff two or more receipts of the SAME task and report equivalence
backend list	0	List every reference backend with its availability, the probe that established it, and its declared capabilities
backend orphans	0	Enumerate surfaces still carrying a task nonce, per backend
backend probe	0	Probe one backend and print the result plus its lifecycle health
backend receipt	1	Receipt operations
backend receipt verify	0	Verify a receipt file's integrity and internal consistency
backend run	0	Run a task definition on one backend and write its receipt
backend scan	0	F25-05: scan every backend for orphaned execution left behind by a task, printing the RAW enumeration alongside the count and naming the reaping mechanism each backend actually relies on
backup	5	Archive, verify, restore and recover a Wayland home (F26-03)
backup create	0	Create a verifiable archive of a Wayland home
backup digest	0	Print the tree digest of a home, and the algorithm used
backup recover	0	Roll back any operation whose owning process died mid-flight
backup restore	0	Restore an archive into a home directory
backup verify	0	Verify an archive's manifest, payload digests and entry paths
channel	4	F24-03: channel adapters — list / probe / health / reload. `probe` asks the platform and needs no gateway; `health` reports only what a RUNNING gateway has observed and refuses otherwise
channel health	0	Show the per-adapter health a RUNNING gateway has observed
channel list	0	List configured channels from the on-disk config directory
channel probe	0	Ask each configured channel's platform whether its setup is complete, whether its credential authenticates, and what identity it authenticated as. Sends no message
channel reload	0	Ask the running gateway to re-read the channel config directory
cron	10	v0.8.1 U7: manage scheduled cron jobs (add / list / remove / enable / disable). Persists to `$WAYLAND_HOME/cron/jobs.json`; the background runner spawned at session boot picks up changes on its next tick
cron add	0	Add a new job. Exactly one of `--slash`, `--channel`, or `--skill` must be provided (with matching companion flags)
cron daemon	0	Spawn the cron runner as a detached background daemon
cron disable	0	Disable a job by id (kept on disk, skipped by the runner)
cron enable	0	Enable a job by id
cron history	0	Print the last N fire records for a job (timestamp, outcome, duration, error message if any). Records come from the JSONL ring-buffer written by the runner alongside jobs.json
cron list	0	List every persisted cron job
cron logs	0	Tail recent log lines associated with a job's fires. Currently surfaces fire records from the history file (same data as `cron history`) formatted as structured log lines compatible with the engine's tracing output
cron publish	0	Publish an event topic, firing every job with a matching `--trigger event:TOPIC`
