# Phase 28 ADJUDICATED finding ledger — the machine artifact the signed receipt consumes.
# Validated by: python3 .planning/scripts/f28-ledger.py --validate <this file>
#   plus --check-completeness, --check-a2, --check-downgrades, --check-backlog-ids.
# inherited_severity is PROVENANCE ONLY and is never read by a gate (amendment A1).
# A contradicted_criterion other than "-" closes ACCEPTED and DEFERRED (amendment A2),
# regardless of the severity recorded on the row.
# "-" means "none"; a genuinely empty field is rejected, so an omission cannot read as a none.
# disposition OPEN is NOT terminal. A row carrying it means the acceptance gate does not pass,
# and that is the honest result rather than a reason to re-score the row.
#id	subject	inherited_severity	p28_severity	contradicted_criterion	available_dispositions	disposition	rationale	owner	backlog_id	executable_check	counter_evidence	origin
KR-01	descendant process tree is not reaped; a process survives its owner (wcore-sandbox::live_integrity::live_future_drop_reaps_descendant_job_tree, Windows, deterministic)	known-red/non-gating	HIGH	2	FIXED,DISPROVED	DISPROVED	A2 crossing (panel calibration example 1): subject matter is an orphaned process and Criterion 2's subject matter is a soak with no orphan process, so the accept path is closed and only FIXED or DISPROVED were available. TESTED on seandesktop and the reap WORKS: 12/12 serial passes across competing load from 4 to 32 processes. The witness was STRENGTHENED, not the assertion relaxed - from heartbeat-file length (which cannot separate reaped from starved and biases toward a false pass under load) to host-side fixed-ProcessId liveness, and capture_alive_descendant_pids now panics if no descendant is ever observed so a run that proves nothing fails as unmeasurable. The carried row was MISATTRIBUTED: the old red never reached its reap assertion, aborting ~30 lines earlier in its own setup.				evidence/28-03-windows-requeue/KR-01.md and F-WR-REPAIR-SUMMARY.md - KR01_WITNESS_DESCENDANTS_ALIVE_BEFORE_DROP=[31360] then KR01_WITNESS_SURVIVORS_AFTER_DROP=0 of 1, 12/12 serial; ladder rung 5 refutes the serialisation alternative by failing the ORIGINAL shape serially in 2.7s	carried-red
KR-02	Windows snapshot private DACL enforcement is unproven; snapshot.rs windows_private_dacl_* fail at their WRITE_DAC reopen step with error 5, identically at parent	known-red/non-gating	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	A1 re-score unchanged from 28-01: the observed red is in the test's own reopen step and reproduces at parent, so it is not evidence of a candidate regression, and it contradicts no criterion as scored. Contract section 3.4's unproven-control corollary would move it across the A2 line and was DELIBERATELY NOT APPLIED - inventing a stricter rule than the recorded decision is what grew Phase 20 to 74 plans. Not repaired here: this plan repairs nothing by design.	Phase 30 (hardening)	BL-F28-KR02			carried-red
KR-03	worker output exhaustion buffer-retention bound is unproven; worker_runtime_limits::multi_worker_output_exhaustion_fails_without_retaining_buffers takes ~35s against a 20s budget and the timeout was deliberately NOT raised	known-red/non-gating	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	A1 re-score unchanged: the red is a budget overrun in the test, not an observed retention of buffers, so no criterion-contradicting behaviour is established. Same section 3.4 treatment as KR-02. The soak's resource slopes (harness_rss_bytes <= 2x, all green on three families) are adjacent evidence but do not measure this bound.	Phase 30 (hardening)	BL-F28-KR03			carried-red
KR-04	bash cannot run under Windows AppContainer at all; msys requires \BaseNamedObjects and AppContainer confines to AppContainerNamedObjects by construction (0xC0000022)	known-red/architectural	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Architectural impossibility, not a defect in the candidate: no budget fixes it. The product contract is fail-closed and the test asserts it. Carried knowingly and enumerated in the signed receipt so it is visible at acceptance and again at release rather than absorbed. This is the canonical architectural-impossibility instance and its impossibility_check IS that fail-closed assertion.	Phase 29 (release acceptance)	BL-F28-KR04			carried-red
KR-05	AppContainer ACL lease SID/profile mismatch: a security control reports itself active while being inactive; the product continues to execute UNSANDBOXED and logs a message that reads like a platform limitation	environment-quirk/non-gating	CRITICAL	1	FIXED,DISPROVED	DISPROVED	A2 crossing (panel calibration example 2), accept path closed. MEASURED BY CONTROL and the answer is the opposite of what was feared: in BOTH wedged observations the probe reported unavailable and the product REFUSED TO EXECUTE (worker executed=False, no uncontained High-integrity label). On this candidate the wedge is a DENIAL OF SERVICE, not an elevation of privilege, so the CRITICAL claim as written - silently inactive control, execution continues unsandboxed - does not hold. 28-02 said this must not be closed on the delegated surface alone; the additional evidence that closes it is that on Windows is_available() IS a real sandboxed spawn rather than a capability query, driven at BOTH session types, with 6/6 directional controls caught including two negative ones. The residual - the bash-tool path under a wedged lease - is unmeasured and is carried as F-28-04-002 rather than absorbed into this row.				evidence/28-02/controls.json (obs-scheduled-task-wedged and obs-ssh-wedged: probe_report=unavailable, product_behaviour=refused-fail-closed) and evidence/28-02/win-control.log; 6/6 directional controls passed	carried-red
KR-06	whether the Windows sandbox is observable in the CERTIFICATION ENVIRONMENT is unmeasured; the standing rule that it cannot be observed over SSH is refuted on one host but does not generalise	standing-rule-now-refuted	HIGH	-	FIXED,DISPROVED	DISPROVED	The finding's subject is that observability was UNMEASURED. It is now measured, by a directional control run in the certification environment before any sandbox cell was graded: 3 positive and 3 negative controls, all caught, at both scheduled-task and SSH session types. The standing rule 'never conclude a red from an SSH run' is CONFIRMED-FALSE and retracted. SCOPE, stated rather than dropped: the wedge-clearable verdict is not generalised off seandesktop, the observation-blocked skip class remains NOT AUTHORISED and was never used, and neither AppContainer intel file is cited as evidence for anything.				evidence/28-02/controls.json verdict=wedge-clearable with 6/6 directional controls; 28-02-OBSERVABILITY-CONTROL.md	carried-red
F-28-01-001	the unproven-control corollary of A2 was considered and deliberately NOT applied, so KR-02 and KR-03 stayed below the A2 line	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Carried knowingly and recorded with its reasoning so a later reader can apply the corollary DELIBERATELY rather than rediscover it. The decision record names exactly two A2 crossings and 28-01 was directed to name two; applying the corollary would have made four. Cost is bounded because the structural rule reached the same place by a different road - the properties became measured matrix cells under the positive-evidence rule, where a cell that cannot produce positive evidence is a RED and never a skip.	Phase 29 (release acceptance)	BL-F28-C4			contract
F-28-01-002	the standing severity policy is not in AGENTS.md; 28-01 was directed to quote it verbatim from there and that file contains no such text	n/a-raised-by-phase-28	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Documentation defect in the program's own instruction set, not in the candidate. Section 1.3 of the contract quotes ROADMAP.md and commit d0837aa7 instead and says so. Either add the policy to AGENTS.md section 11 or correct the plans that cite it as living there.	Phase 29 (release acceptance)	BL-F28-POLICY-DOC			contract
F-28-01-003	the severity-amendment commit d0837aa7 - the decision's load-bearing 'later instrument' - ends its own message with 'Phase 28's criteria are untouched (different phase)'	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	This is the STRONGEST available evidence for the losing c4-literal position and it appears in no panel response, so it is carried into the signed receipt rather than left in a contract appendix. It does not by itself overturn the decision: the sentence is as consistent with 'I am not editing that phase's text' as with 'that phase is exempt', and the dissent's own reversal condition is narrower (a restatement made KNOWING the current policy), which this is not. Under A2 the practical gap is narrow, because the findings c4-literal would protect are exactly the ones A2 already removes from the accept path. A reader reopening the acceptance rule should start here.	Sean (maintainer decision, reversible by one line)	BL-F28-C4			contract
F-28-01-R001	surface `wayland-core agent` is exposed by the candidate binary and appears NOWHERE in any phase 24-27 artifact (class present-but-unclaimed)	n/a-raised-by-phase-28	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Certified anyway and flagged: the surface WAS exercised by the matrix and the soak, so this does not reduce coverage - it records that attribution is incomplete. An uncertified surface that ships is worse than an unattributed one, and the surface may predate phases 24-27, which is itself worth knowing at certification time. Carried knowingly. NOTE for a later reader: these IDs are POSITIONAL and shifted between the 28-02 and 28-03 resolutions, so do not diff them by ID.	Phase 29 (release acceptance)	BL-F28-SURFACE-UNCLAIMED			candidate-resolution
