# id	command_path	versioned_activation	operator_completeness	maturity	security_authority_owner	evidence	peer_delta	last_refreshed_phase
# UNPROVEN means NOT MEASURED. peer_delta is UNPROVEN on every row: no comparative trial has run (30-02 owns it).
SURF-001	acp	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-002	acp request	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-003	acp request create-session	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-004	acp request delete-session	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-005	acp request get-session	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-006	acp request list-sessions	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-007	acp request send	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-008	acp serve	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-009	agent	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-010	agent create	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-011	agent delete	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-012	agent edit	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-013	agent list	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-014	agent show	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-015	auth	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-016	auth add	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-017	auth list	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-018	auth login	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-019	auth logout	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-020	auth remove	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-021	auth status	0.12.25	UNPROVEN	CONSTRUCTED	core	AUTH-*	UNPROVEN	21+25-04+28-02
SURF-022	backend	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-023	backend cancel	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-024	backend diff	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-025	backend list	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-026	backend orphans	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-027	backend probe	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-028	backend receipt	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-029	backend receipt verify	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-030	backend run	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-031	backend scan	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-032	backup	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-033	backup create	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-034	backup digest	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-035	backup recover	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-036	backup restore	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-037	backup verify	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-038	channel	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-039	channel health	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-040	channel list	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-041	channel probe	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-042	channel reload	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-043	cron	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-044	cron add	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-045	cron daemon	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-046	cron disable	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-047	cron enable	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-048	cron history	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-049	cron list	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-050	cron logs	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-051	cron publish	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-052	cron remove	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-053	cron status	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-054	crucible	0.12.25	UNPROVEN	REACHED	core	TXN-*	UNPROVEN	21+22+23B-H1+28
SURF-055	fetch	0.12.25	UNPROVEN	SOURCE	core	MEDIA-*	UNPROVEN	27
SURF-056	forge	0.12.25	UNPROVEN	REACHED	core	TXN-*	UNPROVEN	21+22+23B-H1+28
SURF-057	gateway	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-058	gateway drain	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-059	gateway install	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-060	gateway restart	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-061	gateway run	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-062	gateway start	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-063	gateway status	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-064	gateway stop	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-065	gateway uninstall	0.12.25	UNPROVEN	CONSTRUCTED	core	GATEWAY-*	UNPROVEN	24
SURF-066	goal	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-067	goal effects	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-068	goal exec-task	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-069	goal open	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-070	goal run	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-071	goal status	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-072	goal task	0.12.25	UNPROVEN	CONSTRUCTED	core	GOAL-*	UNPROVEN	22+24-02
SURF-073	image	0.12.25	UNPROVEN	SOURCE	core	MEDIA-*	UNPROVEN	27
SURF-074	index	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-075	index build	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-076	index search	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-077	index status	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-078	index verify	0.12.25	UNPROVEN	REACHED	core	CONT-*	UNPROVEN	23A+23B
SURF-079	init	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-080	mcp-serve	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-081	migrate	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-082	migrate hermes	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-083	migrate openclaw	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-084	migrate promote	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-085	migrate quarantined	0.12.25	UNPROVEN	REACHED	core	PORT-*	UNPROVEN	26
SURF-086	models	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-087	models list	0.12.25	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN	UNPROVEN
SURF-088	node	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
SURF-089	node advertise	0.12.25	UNPROVEN	REACHED	core	REACH-*	UNPROVEN	25
