file	line	context	token_kind	token	string
crates/wayland-ijfw/src/mcp.rs	142	log	prose		ijfw-memory: npx not found on PATH — skipping MCP registration (install Node.js to enable)
crates/wayland-ijfw/src/mcp.rs	151	log	flag	--help	ijfw-memory: MCP server did not start cleanly — skipping registration. Run `npx @ijfw/memory-server --help` manually to diagnose.
crates/wcore-acp/src/auth.rs	160	error_construct	prose		no verifier configured (deny-all)
crates/wcore-acp/src/server.rs	845	error_construct	prose		no turn engine installed
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	charset = "utf-8"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	class = "sub"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	content = "width=device-width, initial-scale=1"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	href = "/openapi.json"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	id = "ops"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
crates/wcore-acp/src/transport/rest.rs	297	other	config_assign	lang = "en"	<!doctype html> <html lang="en"> <head> <meta charset="utf-8"> <meta name="viewport" content="width=device-width, initial-scale=1"> <title>wayland-core agent REST API</title> <style> :root { color-scheme: light dark; } body { font: 14px/1.5 system-ui, sans-serif; margin: 0; padding: 2rem; max-width: 60rem; margin-inline: auto; } h1 { font-size: 1.4rem; margin-bottom: .25rem; } .sub { opacity: .7; margin-bottom: 1.5rem; } .op { border: 1px solid currentColor; border-radius: 6px; padding: .75rem 1rem; margin-bottom: .75rem; opacity: .92; } .method { display: inline-block; font-weight: 700; font-family: ui-monospace, monospace; padding: .1rem .5rem; border-radius: 4px; margin-right: .5rem; } .path { font-family: ui-monospace, monospace; } .desc { opacity: .75; margin-top: .35rem; } a { color: inherit; } code { font-family: ui-monospace, monospace; } </style> </head> <body> <h1>wayland-core agent REST API</h1> <div class="sub">Raw OpenAPI document: <a href="/openapi.json">/openapi.json</a></div> <div id="ops">Loading spec&hellip;</div> <script> (async () => { const root = document.getElementById('ops'); try { const res = await fetch('/openapi.json'); const spec = await res.json(); const paths = spec.paths || {}; const frag = document.createDocumentFragment(); for (const [p, methods] of Object.entries(paths)) { for (const [m, op] of Object.entries(methods)) { const div = document.createElement('div'); div.className = 'op'; const meth = document.createElement('span'); meth.className = 'method'; meth.textContent = m.toUpperCase(); const path = document.createElement('span'); path.className = 'path'; path.textContent = p; div.append(meth, path); const summary = op.summary || op.description || ''; if (summary) { const d = document.createElement('div'); d.className = 'desc'; d.textContent = summary; div.append(d); } frag.append(div); } } root.replaceChildren(frag); } catch (e) { root.textContent = 'Failed to load /openapi.json: ' + e; } })(); </script> </body> </html>
