red1	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "2cca6b033debecfe7222ef15a1e1cb024640347f", "tree": "53ed4d6b28dc5cc26d764b0fb9525e6f0ccdb5e7", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "concurrent_checkpoint_stores_cannot_jointly_exceed_the_session_quota"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 106.09560894966125, "status_sha256": "508ed4647c15bb243c38f01fa655f5e0c369385f357ef5deaa3c64f30546b975"}
green-tests	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "a8fd1ac9c7d79276d07af264b087e9ed89c704b0", "tree": "eee7b2849bb27f8e615190c111b36dfc1a76818d", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--test", "durable_child_store_test", "--test", "f889_write_edit_reconcile_test", "--test", "workflow_limits_test"], "core_binary_profile": null, "ssh_exit": 0, "remote_exit": 0, "complete": true, "duration_seconds": 199.692636013031, "status_sha256": "f09d00aa3dd0fe852841c1766431a5712be6d1c03f4c9a15a7350639e136393b"}
green-clippy	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "a8fd1ac9c7d79276d07af264b087e9ed89c704b0", "tree": "eee7b2849bb27f8e615190c111b36dfc1a76818d", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["clippy", "--all-targets", "--", "-D", "warnings"], "core_binary_profile": null, "ssh_exit": 0, "remote_exit": 0, "complete": true, "duration_seconds": 98.01924896240234, "status_sha256": "f09d00aa3dd0fe852841c1766431a5712be6d1c03f4c9a15a7350639e136393b"}
green-clippy-win	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "a8fd1ac9c7d79276d07af264b087e9ed89c704b0", "tree": "eee7b2849bb27f8e615190c111b36dfc1a76818d", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["clippy", "--target", "x86_64-pc-windows-gnu", "-p", "wcore-agent", "--all-targets", "--", "-D", "warnings"], "core_binary_profile": null, "ssh_exit": 0, "remote_exit": 0, "complete": true, "duration_seconds": 105.9067370891571, "status_sha256": "f09d00aa3dd0fe852841c1766431a5712be6d1c03f4c9a15a7350639e136393b"}
red-m1	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "a0a477063ddae593ebedd8228e02fbbbfe59c252", "tree": "dccdbdfd1da691b3dec96c7c3acb673d2bb0253e", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "concurrent_checkpoint_stores_cannot_jointly_exceed_the_session_quota", "checkpoint_admission_counts_a_store_released_during_the_scan"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 104.07887578010559, "status_sha256": "ec4a1cecdd4a30f1c28c14dec456739731878c77156472313c4c08072b174164"}
red-m2	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "8b768f8a1d6f1f70a5d589e8140fda5cd3ad4515", "tree": "1749a2eae31f7746d7cddc8fc60e79aad5d21925", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "panicking_checkpoint_store_releases_its_quota_reservation"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 96.75473284721375, "status_sha256": "f4f5838646fd8fdfbfe9e73d1a215107a6f1331af0bce1830418d313b70df246"}
red-m3	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "7c79d8eebee4b650647ebfb2dd6a01953ad7c06f", "tree": "8a18f604834bc018443dbc1050f53c8657c5df56", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "checkpoint_stores_in_different_sessions_are_neither_serialized_nor_share_a_quota"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 102.08121299743652, "status_sha256": "ea15edf94db982513aa5830bf5a06202892d1fb9c9079461907d6b4818fed353"}
red-m4	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "edfefdb0f709047ddf4815bdfdcb071642ee78b2", "tree": "d3e51c2e238042c1c6af26f14066b4d6de2d6bae", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "checkpoint_admission_counts_a_store_released_during_the_scan"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 109.962229013443, "status_sha256": "ed47060c54b202712c7f84403cec0624c121482e113986f94c2f4b90061b453a"}
red-m5	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "3376849f51887527d3458374fc7a74c74173e27a", "tree": "23360739ec82befabf95a9272609380d176afd48", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "crash_left_checkpoint_temporaries_still_count_against_the_session_quota"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 102.9921510219574, "status_sha256": "7c1759b95c119ada5dd7d365dce1349aa4152f17daddd077ecd0282152361682"}
red-m6	{"slot": "default", "remote_root": "/root/waylandcore-stabilization-20260905", "source": "9556bb0eaf7008bc9c5e85098534bbec2470b299", "tree": "8af4e8ccac027377864a4b74e22bf24a2983f428", "bundle_import_anchor": "0cdd998adb1cd2ab13966a40b1b98c6136fd72d0", "cargo_args": ["test", "-p", "wcore-agent", "--lib", "--", "checkpoint_stores_in_different_sessions_are_neither_serialized_nor_share_a_quota"], "core_binary_profile": null, "ssh_exit": 101, "remote_exit": 101, "complete": true, "duration_seconds": 113.43276715278625, "status_sha256": "60b13c837bebda2702c8b7de92f08ebc7117c72fafe9c18fdf136eaf49e74cb3"}
